created_at;id_str;tweet;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Sep 20 21:59:00 +0000 2023;1,70462E+18;Zonasi juga payah tapi kekeh amat dipertahanin 👎;0;0;0;0;in;1,42625E+18;1,70462E+18;ximenophobe;https://twitter.com/ximenophobe/status/1704616174284419125
Wed Sep 20 21:51:18 +0000 2023;1,70461E+18;@AzzamIzzulhaq Ustad, bagaimana sistem pendidikan disana? Apakah ada zonasi? Apakah ada spp,apakah ada kewajiban beli seragam? Disini, Jangankan untuk manage sistem pendidikan, yg rèmeh-temeh saja jadi masalah besar.;0;0;2;6;in;1896830862;1,70453E+18;mazriva;https://twitter.com/mazriva/status/1704614234188087491
Wed Sep 20 20:42:47 +0000 2023;1,7046E+18;Sekolah² negeri favorit yg murah dan berkualitas sudah terlanjur dirusak oleh zonasi, gk ada sekolah favorit katanya. #eh kok sekarang ada yg mau bikin proyek sekolah unggulan.;0;0;1;1;in;83556586;1,7046E+18;LangitZaman;https://twitter.com/LangitZaman/status/1704596992100639203
Wed Sep 20 20:33:35 +0000 2023;1,70459E+18;@BiLLRaY2019 #sman di #cisauk aja #nego alesan ga dapat #zonasi;0;0;0;0;in;410807869;1,70403E+18;xeramhalanx;https://twitter.com/xeramhalanx/status/1704594679101341950
Wed Sep 20 19:48:19 +0000 2023;1,70458E+18;@ZakirhgKuran Türk devletleri teşkilatı türk mü yahudi mi o zaman?  Ben bu halde bu sorunu sormalı diyil miyim? Zaten vad olunmuş topraklar var tevratta. Orda bir konu Mugan hakta. Bir de harran. Harran Aran zonası və Muğan da zaten Azerbaycanda bir bölge.;0;1;0;1;tr;9,85432E+17;1,70456E+18;SohrabGahraman1;https://twitter.com/SohrabGahraman1/status/1704583287224557636
Wed Sep 20 19:12:02 +0000 2023;1,70457E+18;Qarabağda separatçıların “boz zonası” bitdi  - Azərbaycan məqsədinə tam çatdı... https://t.co/hrAOhUUKf0;0;0;0;0;tr;457746262;1,70457E+18;bakixeber;https://twitter.com/bakixeber/status/1704574156015079811
Wed Sep 20 17:16:37 +0000 2023;1,70455E+18;@canscmfort @kdrama_menfess Karna ortu dia berprinsip tidak mau terdetect sama NIS. Soalnya sedari awal target utamanya si bongseok, itu sma aja dipilih disitu karena biar bongseok kena zonasi dan sekolah disitu. Yg pureblood manusia super dia doang, lainyya halfblood;16;2;23;268;in;1703338430;1,70453E+18;dhikamoeriati;https://twitter.com/dhikamoeriati/status/1704545107578601499
Wed Sep 20 16:26:45 +0000 2023;1,70453E+18;@setro_gm @tvOneNews 41 triliyun.. nek gawe nggawe sekolah negri sak endonesa roto kui.. ra bingung zonasi 🤣🤣;0;1;0;1;in;73822393;1,70442E+18;truewelu;https://twitter.com/truewelu/status/1704532557407400210
Wed Sep 20 16:13:04 +0000 2023;1,70453E+18;sistem zonasi;0;0;0;0;tr;1,53035E+18;1,70453E+18;82halomdz;https://twitter.com/82halomdz/status/1704529114747871375
Wed Sep 20 15:07:26 +0000 2023;1,70451E+18;tapi ini bukan soal zonasi;0;0;0;0;in;1,60504E+18;1,70451E+18;liejenox;https://twitter.com/liejenox/status/1704512597934961043
Wed Sep 20 14:29:54 +0000 2023;1,7045E+18;Ke-7 matpel akan disederhanakan. Ga. Njelimet kek saat ini. zonasi akan dihapuskan. Kembali pake NEM.  Ke-8 wajib militer buat co yg udah dewasa.. Ce ga usah deh. Ntar malah pada pacaran pas wamil.😆;0;1;0;0;in;1,68151E+18;1,70444E+18;lampu_patromaks;https://twitter.com/lampu_patromaks/status/1704503151267553734
Wed Sep 20 13:25:40 +0000 2023;1,70449E+18;KPU Bikin Sistem Zonasi Pengadaan Paket Logistik Pemilu 2024 https://t.co/RerUKVl3as;0;0;0;0;in;388190238;1,70449E+18;IDNTimes;https://twitter.com/IDNTimes/status/1704486986290205135
Wed Sep 20 13:15:43 +0000 2023;1,70448E+18;@Penyegaran_TL pusernya blm keliatan jadi blm masuk zonasi🙏🏻;0;1;0;0;in;2257906740;1,70416E+18;Ainurraiss;https://twitter.com/Ainurraiss/status/1704484486334087638
Wed Sep 20 12:55:58 +0000 2023;1,70448E+18;@giIangmahesa dilema rumah jauh dan ga ada yg anterin sekolah. meski zonasi, masih banyak yg pake motor, dititipin di luar sekolah biasanya;0;0;0;0;in;2278488974;1,70445E+18;mas_idub7;https://twitter.com/mas_idub7/status/1704479514548740278
Wed Sep 20 11:53:01 +0000 2023;1,70446E+18;Tadinya mau terpaku sama SMA kompleks tapi ku ingat mereka juga zonasi wkwkwk;0;0;0;0;in;403320727;1,70446E+18;pitersally;https://twitter.com/pitersally/status/1704463673551671658
Wed Sep 20 10:56:13 +0000 2023;1,70445E+18;@amerikaninsesi Azerbaycan torpaqlarinda yalniz ve yalniz Qarabag Iqtisadi Zonasi var.Dagliq Qarabag deye bir qondarma rejimden soz gede bilmez,;0;0;0;0;tr;1,59823E+18;1,70421E+18;aleskeral98;https://twitter.com/aleskeral98/status/1704449378621235677
Wed Sep 20 10:52:25 +0000 2023;1,70445E+18;@amerikaninsesi Azerbaycan erazisinde Dagliq Qarabag deye bir yer yoxdur elece de Dagliq Qarabag xalqi deye bir sey yoxdur.Azerbaycanin Iqtisadi zonasi olan Qarabag var.;0;0;0;0;tr;1,66135E+18;1,70421E+18;RehimovFik21091;https://twitter.com/RehimovFik21091/status/1704448421564764447
Wed Sep 20 09:30:56 +0000 2023;1,70443E+18;@AryBandung makanya ad zonasi..;0;0;0;0;in;3152355452;1,70441E+18;bhayubisma;https://twitter.com/bhayubisma/status/1704427914249593238
Wed Sep 20 09:29:50 +0000 2023;1,70443E+18;@Arian051296 @MinmonPS7 @KontenBerfaedah Kak, zonasi pun kalo org2 sekarang mah  deket juga pada males jalan atw naik angkutan umum ...mesti pake motor kak,,,,cuma radius 200-300 meter aja apda pengen pake motor,,,,apalagi 1-2km. Setidaknya yg saya perhatikan ya di sini;0;0;0;1;in;61168108;1,70418E+18;8Mir;https://twitter.com/8Mir/status/1704427637660389882
Wed Sep 20 08:38:16 +0000 2023;1,70441E+18;@xxtdkhmr @erhaiban @rannayyy @speachace @tanyarlfes Sekarang kan sekolah zamannya zonasi kak, jadi gk mungkin jauh banget sekolahnya. Terlebih lagi kendaraan umum udah banyak banget.;0;0;0;0;in;602507587;1,70408E+18;ms_wid;https://twitter.com/ms_wid/status/1704414661263991070
Wed Sep 20 08:02:56 +0000 2023;1,70441E+18;@AryBandung Sayangnya di kecamatan ku SMA negeri aja cuman 1 SMP nengeri cuman 2 itu pun terbatas zonasi yang cuman 1,5 KM. Yang lebih dari zonasi terpaksa menikmati sekolah swasta dengan se abreg biaya tentunya;1;0;0;0;in;1,56464E+18;1,70394E+18;memed71131123;https://twitter.com/memed71131123/status/1704405768345378832
Wed Sep 20 07:45:52 +0000 2023;1,7044E+18;Ferrarini oldi yoq bob ketgan, lekin haydovchi zonasi hatto bukilmagan;0;1;0;4;in;1,25733E+18;1,7044E+18;BoburTohirov;https://twitter.com/BoburTohirov/status/1704401473470112142
Wed Sep 20 07:44:42 +0000 2023;1,7044E+18;@narcotivc zonasi;0;0;0;0;in;1,51204E+18;1,7044E+18;cgrtsiex;https://twitter.com/cgrtsiex/status/1704401179202224612
Wed Sep 20 07:34:54 +0000 2023;1,7044E+18;@narcotivc Jalur zonasi;0;0;0;0;in;1,63415E+18;1,7044E+18;tvlipse;https://twitter.com/tvlipse/status/1704398713521950899
Wed Sep 20 07:29:36 +0000 2023;1,7044E+18;@MinmonPS7 @KontenBerfaedah Untuk didaerah jangankan smp kadang anak sd juga udah bawa motor ke sekolah alasannya jauh ke sekolah atau mungkin gada kendaraan umum. But balik lagi kenapa harus motor ya kenapa ga sepeda aja 🥹 terus zonasi juga guna gak sih?;0;4;1;28;in;1,56121E+18;1,70418E+18;Arian051296;https://twitter.com/Arian051296/status/1704397381629038642
Wed Sep 20 07:26:35 +0000 2023;1,7044E+18;Ya dengan zonasi harusnya udh ga ada yang begini sih. Tapi jadinya beralih pada malsuin kartu keluarga buat masuk sma gua ini, yang jadi viral di twt juga waktu itu wkwk;0;0;0;0;in;1,53146E+18;1,70439E+18;stuckwithtzu;https://twitter.com/stuckwithtzu/status/1704396623286313206
